"country","countryiso3","SH.DYN.AIDS.ZS_2013","SH.DYN.AIDS.ZS_2014","SH.DYN.AIDS.ZS_2015","SH.DYN.AIDS.ZS_2016","SH.DYN.AIDS.ZS_2017","SH.DYN.AIDS.ZS_2018"
"Sierra Leone","SLE",1.5,1.5,1.5,1.5,1.5,1.5
"Singapore","SGP",0.3,0.3,0.3,0.3,0.3,0.2
"Slovak Republic","SVK",0.1,0.1,0.1,0.1,0.1,0.1
"Slovenia","SVN",0.1,0.1,0.1,0.1,0.1,0.1
"Small states","SST",7.65009291333331,7.61637490968383,7.5627683721369,7.48824267171635,7.41606942521199,7.31250114608514
"Somalia","SOM",0.2,0.2,0.2,0.1,0.1,0.1
"South Africa","ZAF",19.9,20.1,20.3,20.4,20.5,20.4
"South Sudan","SSD",2.4,2.4,2.4,2.4,2.5,2.5
"Spain","ESP",0.4,0.4,0.4,0.4,0.4,0.3
"Sri Lanka","LKA",0.1,0.1,0.1,0.1,0.1,0.1
"Sub-Saharan Africa","SSF",4.2421992909488,4.19723486646282,4.12473930914897,4.04856404736934,3.98993042021864,3.90190503884857
"Sub-Saharan Africa (excluding high income)","SSA",4.2421992909488,4.19723486646282,4.12473930914897,4.04856404736934,3.98993042021864,3.90190503884857
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",4.2421992909488,4.19723486646282,4.12473930914897,4.04856404736934,3.98993042021864,3.90190503884857
"Sudan","SDN",0.2,0.2,0.2,0.2,0.2,0.2
"Suriname","SUR",1.4,1.4,1.4,1.4,1.4,1.4
"Syrian Arab Republic","SYR",0.1,0.1,0.1,0.1,0.1,0.1
"Tajikistan","TJK",0.2,0.2,0.2,0.2,0.2,0.2
"Tanzania","TZA",4.9,4.9,4.8,4.8,4.7,4.6
"Thailand","THA",1.4,1.3,1.3,1.2,1.2,1.1
"Togo","TGO",2.7,2.6,2.5,2.4,2.4,2.3
"Tunisia","TUN",0.1,0.1,0.1,0.1,0.1,0.1
"Uganda","UGA",6.5,6.4,6.2,6.1,5.9,5.7
"Ukraine","UKR",0.9,0.9,0.9,0.9,0.9,1
"United Kingdom","GBR",NA,NA,NA,NA,0.2,NA
"United States","USA",0.4,0.4,0.4,0.4,NA,NA
"Uruguay","URY",0.5,0.5,0.5,0.6,0.6,0.6
"Uzbekistan","UZB",0.2,0.2,0.2,0.2,0.2,0.2
"Vietnam","VNM",0.4,0.4,0.3,0.3,0.3,0.3
"World","WLD",0.7,0.7,0.7,0.7,0.8,0.8
"Yemen, Rep.","YEM",0.1,0.1,0.1,0.1,0.1,0.1
"Zambia","ZMB",12.5,12.3,12.1,11.8,11.6,11.3
"Zimbabwe","ZWE",14.4,14.1,13.8,13.4,13.1,12.7
